Distributed training: False
Set random seed to 0
**********************Start training**********************
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
epoch[1][520/1856]: lr: 0.000301, aux_loss_cls: 0.050788, aux_loss_reg: 0.384748, rpn_loc_loss: 0.667083, rpn_cls_loss: 0.392351, rpn_dir_loss: 0.131737, loss_cls: 0.225545, loss: 1.852252
epoch[1][540/1856]: lr: 0.000301, aux_loss_cls: 0.046271, aux_loss_reg: 0.388392, rpn_loc_loss: 0.679958, rpn_cls_loss: 0.387955, rpn_dir_loss: 0.133148, loss_cls: 0.220906, loss: 1.856630
epoch[1][560/1856]: lr: 0.000301, aux_loss_cls: 0.050600, aux_loss_reg: 0.341130, rpn_loc_loss: 0.633387, rpn_cls_loss: 0.368291, rpn_dir_loss: 0.128702, loss_cls: 0.211354, loss: 1.733464
epoch[1][580/1856]: lr: 0.000301, aux_loss_cls: 0.045631, aux_loss_reg: 0.361020, rpn_loc_loss: 0.658930, rpn_cls_loss: 0.364268, rpn_dir_loss: 0.130424, loss_cls: 0.207946, loss: 1.768220
epoch[1][600/1856]: lr: 0.000301, aux_loss_cls: 0.045748, aux_loss_reg: 0.367050, rpn_loc_loss: 0.623863, rpn_cls_loss: 0.348188, rpn_dir_loss: 0.131623, loss_cls: 0.199970, loss: 1.716442
epoch[1][620/1856]: lr: 0.000301, aux_loss_cls: 0.041377, aux_loss_reg: 0.326697, rpn_loc_loss: 0.625267, rpn_cls_loss: 0.346420, rpn_dir_loss: 0.132250, loss_cls: 0.208555, loss: 1.680565
epoch[1][640/1856]: lr: 0.000301, aux_loss_cls: 0.042891, aux_loss_reg: 0.320798, rpn_loc_loss: 0.686706, rpn_cls_loss: 0.349940, rpn_dir_loss: 0.132988, loss_cls: 0.206494, loss: 1.739817
epoch[1][660/1856]: lr: 0.000301, aux_loss_cls: 0.043910, aux_loss_reg: 0.325444, rpn_loc_loss: 0.612279, rpn_cls_loss: 0.331847, rpn_dir_loss: 0.130295, loss_cls: 0.200371, loss: 1.644146
epoch[1][680/1856]: lr: 0.000301, aux_loss_cls: 0.039336, aux_loss_reg: 0.318385, rpn_loc_loss: 0.587287, rpn_cls_loss: 0.328565, rpn_dir_loss: 0.128895, loss_cls: 0.195392, loss: 1.597859
epoch[1][700/1856]: lr: 0.000301, aux_loss_cls: 0.042817, aux_loss_reg: 0.303378, rpn_loc_loss: 0.641403, rpn_cls_loss: 0.334900, rpn_dir_loss: 0.130890, loss_cls: 0.184916, loss: 1.638304
epoch[1][720/1856]: lr: 0.000301, aux_loss_cls: 0.042016, aux_loss_reg: 0.311657, rpn_loc_loss: 0.627605, rpn_cls_loss: 0.329835, rpn_dir_loss: 0.134608, loss_cls: 0.191124, loss: 1.636845
epoch[1][740/1856]: lr: 0.000301, aux_loss_cls: 0.038918, aux_loss_reg: 0.309169, rpn_loc_loss: 0.643538, rpn_cls_loss: 0.314266, rpn_dir_loss: 0.136279, loss_cls: 0.186855, loss: 1.629024
epoch[1][760/1856]: lr: 0.000301, aux_loss_cls: 0.050803, aux_loss_reg: 0.317706, rpn_loc_loss: 0.638545, rpn_cls_loss: 0.330077, rpn_dir_loss: 0.134205, loss_cls: 0.189896, loss: 1.661232
epoch[1][780/1856]: lr: 0.000301, aux_loss_cls: 0.045649, aux_loss_reg: 0.304734, rpn_loc_loss: 0.631018, rpn_cls_loss: 0.315345, rpn_dir_loss: 0.131994, loss_cls: 0.187449, loss: 1.616189
epoch[1][800/1856]: lr: 0.000301, aux_loss_cls: 0.041839, aux_loss_reg: 0.326729, rpn_loc_loss: 0.594759, rpn_cls_loss: 0.320269, rpn_dir_loss: 0.130272, loss_cls: 0.184891, loss: 1.598760
epoch[1][820/1856]: lr: 0.000301, aux_loss_cls: 0.038880, aux_loss_reg: 0.287617, rpn_loc_loss: 0.608025, rpn_cls_loss: 0.306894, rpn_dir_loss: 0.133994, loss_cls: 0.173148, loss: 1.548558
epoch[1][840/1856]: lr: 0.000301, aux_loss_cls: 0.046011, aux_loss_reg: 0.311218, rpn_loc_loss: 0.656616, rpn_cls_loss: 0.306798, rpn_dir_loss: 0.130006, loss_cls: 0.190666, loss: 1.641316
epoch[1][860/1856]: lr: 0.000301, aux_loss_cls: 0.037061, aux_loss_reg: 0.284380, rpn_loc_loss: 0.558038, rpn_cls_loss: 0.283659, rpn_dir_loss: 0.132874, loss_cls: 0.184043, loss: 1.480055
epoch[1][880/1856]: lr: 0.000301, aux_loss_cls: 0.037233, aux_loss_reg: 0.295594, rpn_loc_loss: 0.576083, rpn_cls_loss: 0.290086, rpn_dir_loss: 0.130661, loss_cls: 0.181811, loss: 1.511469
epoch[1][900/1856]: lr: 0.000302, aux_loss_cls: 0.039207, aux_loss_reg: 0.302936, rpn_loc_loss: 0.569795, rpn_cls_loss: 0.286531, rpn_dir_loss: 0.130650, loss_cls: 0.171805, loss: 1.500924
epoch[1][920/1856]: lr: 0.000302, aux_loss_cls: 0.038897, aux_loss_reg: 0.276032, rpn_loc_loss: 0.544994, rpn_cls_loss: 0.288575, rpn_dir_loss: 0.131024, loss_cls: 0.168882, loss: 1.448404
epoch[1][940/1856]: lr: 0.000302, aux_loss_cls: 0.036562, aux_loss_reg: 0.304996, rpn_loc_loss: 0.554010, rpn_cls_loss: 0.278011, rpn_dir_loss: 0.130763, loss_cls: 0.156799, loss: 1.461141
epoch[1][960/1856]: lr: 0.000302, aux_loss_cls: 0.038541, aux_loss_reg: 0.268358, rpn_loc_loss: 0.544854, rpn_cls_loss: 0.270715, rpn_dir_loss: 0.131636, loss_cls: 0.160940, loss: 1.415044
epoch[1][980/1856]: lr: 0.000302, aux_loss_cls: 0.038632, aux_loss_reg: 0.274430, rpn_loc_loss: 0.562035, rpn_cls_loss: 0.279084, rpn_dir_loss: 0.131537, loss_cls: 0.166279, loss: 1.451997
epoch[1][1000/1856]: lr: 0.000302, aux_loss_cls: 0.038914, aux_loss_reg: 0.283980, rpn_loc_loss: 0.509262, rpn_cls_loss: 0.254159, rpn_dir_loss: 0.128289, loss_cls: 0.148237, loss: 1.362842
epoch[1][1020/1856]: lr: 0.000302, aux_loss_cls: 0.034117, aux_loss_reg: 0.259700, rpn_loc_loss: 0.503687, rpn_cls_loss: 0.248113, rpn_dir_loss: 0.131159, loss_cls: 0.159029, loss: 1.335804
epoch[1][1040/1856]: lr: 0.000302, aux_loss_cls: 0.037763, aux_loss_reg: 0.270397, rpn_loc_loss: 0.562403, rpn_cls_loss: 0.271375, rpn_dir_loss: 0.125288, loss_cls: 0.167536, loss: 1.434763
epoch[1][1060/1856]: lr: 0.000302, aux_loss_cls: 0.040508, aux_loss_reg: 0.293774, rpn_loc_loss: 0.576414, rpn_cls_loss: 0.281941, rpn_dir_loss: 0.128944, loss_cls: 0.167209, loss: 1.488790
epoch[1][1080/1856]: lr: 0.000302, aux_loss_cls: 0.037194, aux_loss_reg: 0.282802, rpn_loc_loss: 0.611260, rpn_cls_loss: 0.276245, rpn_dir_loss: 0.129454, loss_cls: 0.163199, loss: 1.500154
epoch[1][1100/1856]: lr: 0.000302, aux_loss_cls: 0.038856, aux_loss_reg: 0.304808, rpn_loc_loss: 0.559019, rpn_cls_loss: 0.265594, rpn_dir_loss: 0.127142, loss_cls: 0.161234, loss: 1.456653
