Distributed training: False
Set random seed to 0
**********************Start training**********************
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
epoch[1][520/1856]: lr: 0.000301, aux_loss_cls: 0.137477, aux_loss_reg: 0.663127, rpn_loc_loss: 1.399777, rpn_cls_loss: 0.636978, rpn_dir_loss: 0.135669, loss_cls: 0.182250, loss: 3.155279
epoch[1][540/1856]: lr: 0.000301, aux_loss_cls: 0.122525, aux_loss_reg: 0.649674, rpn_loc_loss: 1.463550, rpn_cls_loss: 0.623308, rpn_dir_loss: 0.135141, loss_cls: 0.219290, loss: 3.213488
epoch[1][560/1856]: lr: 0.000301, aux_loss_cls: 0.118282, aux_loss_reg: 0.619534, rpn_loc_loss: 1.456936, rpn_cls_loss: 0.611264, rpn_dir_loss: 0.136545, loss_cls: 0.236419, loss: 3.178981
epoch[1][580/1856]: lr: 0.000301, aux_loss_cls: 0.115713, aux_loss_reg: 0.631042, rpn_loc_loss: 1.371986, rpn_cls_loss: 0.624191, rpn_dir_loss: 0.137202, loss_cls: 0.181938, loss: 3.062072
epoch[1][600/1856]: lr: 0.000301, aux_loss_cls: 0.114739, aux_loss_reg: 0.637398, rpn_loc_loss: 1.383555, rpn_cls_loss: 0.605007, rpn_dir_loss: 0.140195, loss_cls: 0.212150, loss: 3.093043
epoch[1][620/1856]: lr: 0.000301, aux_loss_cls: 0.113007, aux_loss_reg: 0.627945, rpn_loc_loss: 1.373427, rpn_cls_loss: 0.620513, rpn_dir_loss: 0.140938, loss_cls: 0.191840, loss: 3.067670
epoch[1][640/1856]: lr: 0.000301, aux_loss_cls: 0.120918, aux_loss_reg: 0.637363, rpn_loc_loss: 1.360958, rpn_cls_loss: 0.612464, rpn_dir_loss: 0.138216, loss_cls: 0.172988, loss: 3.042908
epoch[1][660/1856]: lr: 0.000301, aux_loss_cls: 0.128158, aux_loss_reg: 0.618175, rpn_loc_loss: 1.351584, rpn_cls_loss: 0.620207, rpn_dir_loss: 0.135740, loss_cls: 0.226189, loss: 3.080053
epoch[1][680/1856]: lr: 0.000301, aux_loss_cls: 0.120476, aux_loss_reg: 0.603966, rpn_loc_loss: 1.340262, rpn_cls_loss: 0.607373, rpn_dir_loss: 0.135957, loss_cls: 0.235915, loss: 3.043949
epoch[1][700/1856]: lr: 0.000301, aux_loss_cls: 0.120272, aux_loss_reg: 0.582468, rpn_loc_loss: 1.237173, rpn_cls_loss: 0.606991, rpn_dir_loss: 0.137907, loss_cls: 0.235625, loss: 2.920436
